Piece No.,Cat. Suffix,Tr. No.,Main Category,Subcategory,Title,Composer,Artist (Singer Information),Length
No. 1,M01,Tr. 01,Pop,Pop,Wasting Time,Shinya Iguchi,Shinya Iguchi (Male),05:50
No. 2,M01,Tr. 02,Pop,Pop,Forget about It,Shinya Iguchi,Shinya Iguchi (Male),04:22
No. 3,M01,Tr. 03,Pop,Pop,In Your Arms,Suguru Kawagoshi,Donna Burke (Female),03:49
No. 4,M01,Tr. 04,Pop,Ballade,Hold On,Shinya Iguchi,Shinya Iguchi (Male),05:15
No. 5,M01,Tr. 05,Pop,Ballade,Taking Your Heart,Shinya Iguchi,Shinya Iguchi (Male),06:09
No. 6,M01,Tr. 06,Pop,Ballade,Let's Take Some Time ... To Think It Over,Suguru Kawagoshi,Betty (Female),04:03
No. 7,M01,Tr. 07,Rock,Rock,Everyday Lovin',Takeshi Wada,Donna Burke (Female),04:18
No. 8,M01,Tr. 08,Rock,Rock,Living in a World of Destruction,Shigekazu Kamaki,Jeff Manning (Male),03:26
No. 9,M01,Tr. 09,Rock,Rock,Waiting for Your Love,Suguru Kawagoshi,Donna Burke (Female),03:30
No. 10,M01,Tr. 10,Rock,Heavy Metal,Lost in My Dreams,Shigekazu Kamaki,Jeff Manning (Male),03:52
No. 11,M01,Tr. 11,Rock,Heavy Metal,21st Century,Masuhiro Goto,Donna Burke (Female),05:04
No. 12,M01,Tr. 12,Rock,Heavy Metal,Woman,Suguru Kawagoshi,Betty (Female),03:21
No. 13,M02,Tr. 01,Dance,Rap / Hip-Hop,Guess Again,Shigekazu Kamaki,Donna Burke (Female),03:42
No. 14,M02,Tr. 02,Dance,Rap / Hip-Hop,Tuesday Morning,Ichio Yamamoto,Jeff Manning (Male),03:07
No. 15,M02,Tr. 03,Dance,Rap / Hip-Hop,Rocket in My Pocket,Shingo Katsuta,Greg Irwin (Male),05:11
No. 16,M02,Tr. 04,Dance,House,Life Gage,Kazuo Nishi,Nishi feat.T (Female),03:11
No. 17,M02,Tr. 05,Dance,House,Tonight's the Night for Love,Ichio Yamamoto,Donna Burke (Female),03:06
No. 18,M02,Tr. 06,Dance,House,Anything for Your Love,Ichio Yamamoto,Jeff Manning (Male),03:07
No. 19,M02,Tr. 07,Dance,Techno,Asia 2,Kazuo Nishi,Kazuo Nishi (Male),03:42
No. 20,M02,Tr. 08,Dance,Techno,Keep Running,Ichio Yamamoto,Donna Burke (Female),02:42
No. 21,M02,Tr. 09,Dance,Techno,Stf,Ichio Yamamoto,Ichio,03:26
No. 22,M02,Tr. 10,Dance,Funk,Get on up and Dance,Emiko Yamanaka,Donna Burke (Female),04:36
No. 23,M02,Tr. 11,Dance,Funk,Feeling the Hate,Junji Miyazaki,Greg Irwin (Male),04:39
No. 24,M02,Tr. 12,Dance,Funk,Trustin' in Your Groove,Takeshi Wada,Greg Irwin (Male),04:04
No. 25,M02,Tr. 13,Dance,Soul / R&B,It's Time to Fly,Suguru Kawagoshi,Donna Burke (Female),04:03
No. 26,M02,Tr. 14,Dance,Soul / R&B,Secret Dreams,Suguru Kawagoshi,Donna Burke (Female),03:50
No. 27,M02,Tr. 15,Dance,Soul / R&B,Suddenly,Shigenobu Okawa,Greg Irwin (Male),03:34
No. 28,M03,Tr. 01,Jazz,Big Band,Wind Up,Hiroshi Haji,HH Band,03:24
No. 29,M03,Tr. 02,Jazz,Big Band,Bubble,Hiroshi Haji,HH Band,02:46
No. 30,M03,Tr. 03,Jazz,Big Band,Kitchen,Hiroshi Haji,HH Band,03:16
No. 31,M03,Tr. 04,Jazz,Modern Jazz,Azure,Hiroshi Haji,Makoto Nakamura Trio,04:20
No. 32,M03,Tr. 05,Jazz,Modern Jazz,Chuggin',Hiroshi Haji,Takao Nagai Trio,04:35
No. 33,M03,Tr. 06,Jazz,Modern Jazz,The Ramp,Hiroshi Haji,H's Band,03:18
No. 34,M03,Tr. 07,Jazz,Fusion,Tea Break,Bunmei Ogawa,22 Project Band,04:53
No. 35,M03,Tr. 08,Jazz,Fusion,Gypsy Eyes,Kenji Nakamura,22 Project Band,03:14
No. 36,M03,Tr. 09,Jazz,Fusion,Wind Flower,Bunmei Ogawa,22 Project Band,04:30
No. 37,M04,Tr. 01,Latin,Bossa Nova,Musica Nova,Hiroshi Haji,Bossa Novas,04:13
