Piece No.,Cat. Suffix,Tr. No.,Title,Artist,Length,Variation,Instruments Used
No. 1,M01,Tr. 01,Jive (Piano Solo),Makoto Nakamura,03:22,Instrumentation 1,Pf
No. 2,M01,Tr. 02,For Two (Piano Solo),Makoto Nakamura,06:15,Instrumentation 1,Pf
No. 3,M01,Tr. 03,Lounge Away (Piano Solo),Takao Nagai,02:38,Instrumentation 1,Pf
No. 4,M01,Tr. 04,Crescent Serenade (Piano Solo),Makoto Nakamura,02:47,Instrumentation 1,Pf
No. 5,M01,Tr. 05,Abyss (Piano Solo),Takao Nagai,03:08,Instrumentation 1,Pf
No. 6,M01,Tr. 06,Jive (Guitar Solo),Hiroo Chubachi,02:47,Instrumentation 2,Gt
No. 7,M01,Tr. 07,For Two (Guitar Solo),Hiroo Chubachi,03:36,Instrumentation 2,Gt
No. 8,M01,Tr. 08,Lounge Away (Guitar Solo),Satoshi Yamamoto,03:41,Instrumentation 2,Gt
No. 9,M01,Tr. 09,Crescent Serenade (Guitar Solo),Satoshi Yamamoto,03:38,Instrumentation 2,Gt
No. 10,M01,Tr. 10,Abyss (Guitar Solo),Hiroo Chubachi,03:20,Instrumentation 2,Gt
No. 11,M01,Tr. 11,Jive (Vib & Piano Duo),Masahiro Kanno & Takao Nagai,04:05,Instrumentation 3,Vib & Pf
No. 12,M01,Tr. 12,For Two (Flute & Piano Duo),Kazuma Ito & Hiroshi Haji,05:34,Instrumentation 3,Fl & Pf
No. 13,M01,Tr. 13,Lounge Away (Vib & Piano Duo),Masahiro Kanno & Takao Nagai,03:47,Instrumentation 3,Vib & Pf
No. 14,M01,Tr. 14,Crescent Serenade (Piano & Bass Duo),MN & NK,04:42,Instrumentation 3,Pf & Bs
No. 15,M01,Tr. 15,Abyss (Piano & Bass Duo),MN & NK,04:32,Instrumentation 3,Pf & Bs
No. 16,M02,Tr. 01,Jive (Piano Trio),Makoto Nakamura Trio,04:43,Instrumentation 4,Pf & Bs & Dr
No. 17,M02,Tr. 02,For Two (Piano Trio),Makoto Nakamura Trio,06:51,Instrumentation 4,Pf & Bs & Dr
No. 18,M02,Tr. 03,Lounge Away (Piano Trio),HIS Trio,05:22,Instrumentation 4,Pf & Bs & Dr
No. 19,M02,Tr. 04,Crescent Serenade (Piano Trio),HIS Trio,05:15,Instrumentation 4,Pf & Bs & Dr
No. 20,M02,Tr. 05,Abyss (Piano Trio),Takao Nagai Trio,05:41,Instrumentation 4,Pf & Bs & Dr
No. 21,M02,Tr. 06,Jive (Piano Trio & Tp),Rick's,04:38,Instrumentation 5,Pf & Bs & Dr & Tp
No. 22,M02,Tr. 07,For Two (Piano Trio & Tp),Rick's,07:16,Instrumentation 5,Pf & Bs & Dr & Tp
